Question,Answer
What do I need to be eligible for a Green Card?,"You must qualify under one of the official categories listed by USCIS. These categories include family-based relationships, employment-based roles, special immigrant types, refugee or asylee status, certain victim categories, other specific categories, or registry for long-term residents."
How can I qualify for a Green Card through family?,"You can apply if you are an immediate relative of a U.S. citizen (spouse, unmarried child under 21, or parent), another relative under family preference (unmarried or married adult child or sibling), the fiancé(e) or child of a U.S. citizen, a widow or widower of a U.S. citizen, or a VAWA self-petitioner who has experienced abuse."
Who counts as an immediate relative of a U.S. citizen?,"Immediate relatives are the spouse of a U.S. citizen, an unmarried child under age 21, or the parent of a U.S. citizen who is at least 21 years old."
What other family preference categories are available?,"Other categories include unmarried or married adult sons and daughters of U.S. citizens and siblings of U.S. citizens, as well as the spouses, unmarried children under 21, and unmarried adult children of lawful permanent residents."
Who can apply for a Green Card through employment?,"Eligible workers include first preference workers with extraordinary ability or who are professors, researchers or multinational executives; second preference professionals with advanced degrees or exceptional ability; third preference skilled workers, professionals, and unskilled workers; physicians agreeing to serve in underserved areas; and immigrant investors who create jobs."
Who is eligible as a special immigrant?,"Special immigrants include religious workers, juveniles requiring court protection, Afghan or Iraqi translators and employees who assisted the U.S. government, international broadcasters, and certain employees or family members of international organizations or NATO."
How do refugees and asylees qualify for a Green Card?,Refugees and asylees can apply if they have held their status for at least one year.
What options exist for victims of human trafficking or crimes?,Victims with a T (human trafficking) or U (crime victim) nonimmigrant visa may be eligible to apply for permanent residence.
What Green Card categories support victims of abuse?,"Qualifying individuals include VAWA self‑petitioners (abused spouses, children or parents of U.S. citizens or permanent residents), special immigrant juveniles, and abused spouses or children under the Cuban Adjustment Act or Haitian Refugee Immigrant Fairness Act."
What other special categories allow Green Card eligibility?,"Other categories include Liberian Refugee Immigration Fairness, diversity visa lottery selectees, Cuban Adjustment Act applicants, dependents under the Haitian Refugee Immigrant Fairness Act, Lautenberg parolees, Indochinese Parole Adjustment Act recipients, American Indians born in Canada, certain children born to foreign diplomats in the U.S., and applicants under Section 13 for diplomats who cannot return home."
"What is Green Card registry, and who is eligible?","Registry allows individuals who have continuously resided in the United States since before Jan. 1, 1972, to apply for a Green Card."
